Timestamp,CPU (%),RAM (%),Disco (%),Upload (KB/s),Download (KB/s)
22:27:12,11.7,71.9,92.7,4.8037109375,0.3515625
22:27:13,9.7,71.9,92.7,20.9658203125,6.896484375
22:27:14,5.6,71.9,92.7,4.6689453125,0.4765625
22:27:15,11.5,71.9,92.7,5.5009765625,2.771484375
22:27:16,8.5,72.0,92.7,19.0498046875,2.841796875
22:27:17,15.4,72.0,92.7,7.1767578125,7.228515625
22:27:18,12.2,71.9,92.7,26.97265625,1.794921875
22:27:19,6.0,72.3,92.7,0.14453125,1.146484375
22:27:20,13.7,72.3,92.7,6.4052734375,1.515625
22:27:21,8.8,72.3,92.7,21.8828125,3.26171875
22:27:22,15.1,72.3,92.7,15.9775390625,1.01171875
22:27:24,9.1,72.3,92.7,11.44140625,1.5908203125
22:27:25,10.5,72.3,92.7,8.5439453125,0.677734375
22:27:26,13.5,72.3,92.7,10.78515625,3.5400390625
22:27:27,7.9,72.3,92.7,10.939453125,2.1572265625
22:27:28,10.3,72.3,92.7,16.6171875,2.3642578125
22:27:29,10.0,72.3,92.7,10.7529296875,1.4990234375
22:27:30,7.3,72.2,92.7,0.3251953125,0.5625
22:27:31,10.9,72.2,92.7,40.03515625,3.80078125
22:27:32,8.8,72.2,92.7,0.23828125,0.6474609375
22:27:33,13.9,72.2,92.7,22.384765625,2.4541015625
22:27:34,10.7,72.2,92.7,3.5078125,1.8310546875
22:27:35,7.2,72.2,92.7,5.0341796875,1.32421875
22:27:37,16.5,72.2,92.7,6.869140625,2.8740234375
22:27:38,10.5,72.2,92.7,10.0185546875,1.517578125
22:27:39,10.9,72.2,92.7,4.525390625,0.69921875
22:27:40,10.8,72.2,92.7,20.4658203125,3.5673828125
22:27:41,4.4,72.2,92.7,0.7861328125,1.013671875
22:27:42,13.8,72.3,92.7,20.9814453125,8.4228515625
22:27:43,7.4,72.3,92.7,2.3251953125,1.5205078125
22:27:44,8.4,72.3,92.7,12.884765625,2.345703125
22:27:45,10.8,72.3,92.7,19.611328125,2.255859375
22:27:46,4.0,72.2,92.7,11.837890625,1.470703125
22:27:47,13.7,72.3,92.7,0.2001953125,0.9287109375
22:27:48,9.1,72.2,92.7,20.419921875,2.185546875
22:27:50,11.5,72.3,92.7,3.6015625,1.900390625
22:27:51,12.7,72.3,92.7,4.6689453125,0.46875
22:27:52,5.5,72.3,92.7,0.0,0.29296875
22:27:53,7.5,72.3,92.7,9.1455078125,2.072265625
22:27:54,7.6,72.3,92.7,25.1064453125,18.59375
22:27:55,12.7,72.3,92.7,34.931640625,1.8349609375
22:27:56,11.8,72.3,92.7,6.0205078125,1.55078125
22:27:57,2.9,72.3,92.7,20.1806640625,0.2890625
22:27:58,11.4,72.3,92.7,4.0390625,1.7021484375
22:27:59,8.1,72.3,92.7,11.3720703125,1.9921875
22:28:00,6.8,72.3,92.7,28.7041015625,17.4619140625
22:28:01,6.0,72.2,92.7,6.0673828125,1.98046875
